channel_id,display_name
10011.stations.xmltv.tvmedia.ca,"NYC Life (WNYE-DT1) New York, NY"
1011.stations.xmltv.tvmedia.ca,Freeform - East Feed
10497.stations.xmltv.tvmedia.ca,"Localish (WABC-DT2) New York, NY"
1053.stations.xmltv.tvmedia.ca,Disney XD USA - Eastern Feed
10643.stations.xmltv.tvmedia.ca,"WLNY TV10/55, Riverhead, NY HD"
1066.stations.xmltv.tvmedia.ca,MOVIEplex - Eastern
10745.stations.xmltv.tvmedia.ca,"Antenna (WPIX2) New York, NY"
10749.stations.xmltv.tvmedia.ca,"TeleXitos (WNJU2) Teterboro, NJ"
10750.stations.xmltv.tvmedia.ca,"Buzzr TV (WWOR-TV3) New York, NY"
1083.stations.xmltv.tvmedia.ca,Fox News
10919.stations.xmltv.tvmedia.ca,"Cozi (WNBC-DT2) New York, NY"
11045.stations.xmltv.tvmedia.ca,"Start TV (WCBS-TV2) New York, NY"
11048.stations.xmltv.tvmedia.ca,"Movies! (WNYW2) New York, NY"
11074.stations.xmltv.tvmedia.ca,"NYC Gov (WNYE-DT2) New York, NY"
11335.stations.xmltv.tvmedia.ca,"PBS (WNET) New York, NY HD"
11485.stations.xmltv.tvmedia.ca,MGM+ Hits- East
11486.stations.xmltv.tvmedia.ca,MGM+ Marquee
11487.stations.xmltv.tvmedia.ca,MGM+ Drive-In
12609.stations.xmltv.tvmedia.ca,"ION (WPXN) New York, NY HD"
1486.stations.xmltv.tvmedia.ca,FUSE TV - Eastern feed
16429.stations.xmltv.tvmedia.ca,"GetTV (WFUT-DT3) Newark, NJ"
16450.stations.xmltv.tvmedia.ca,"Twist (WXTV-DT3) Paterson, NJ"
1649.stations.xmltv.tvmedia.ca,MSG (Madison Square Gardens)
176.stations.xmltv.tvmedia.ca,Turner Classic Movies USA
1774.stations.xmltv.tvmedia.ca,"PBS (WNET) New York, NY"
1775.stations.xmltv.tvmedia.ca,"PBS (WLIW) Long Island, NY"
1778.stations.xmltv.tvmedia.ca,"ION (WPXN) New York, NY"
1797.stations.xmltv.tvmedia.ca,NBC Universo - Eastern feed
1848.stations.xmltv.tvmedia.ca,SundanceTV USA - East
19107.stations.xmltv.tvmedia.ca,"NYC Life (WNYE-DT1) New York, NY HD"
19168.stations.xmltv.tvmedia.ca,"PBS (WLIW) Long Island, NY HD"
2088.stations.xmltv.tvmedia.ca,"PBS Kids (WNET-DT2) New York, NY"
2128.stations.xmltv.tvmedia.ca,Starz Encore Family - Eastern
2268.stations.xmltv.tvmedia.ca,Boomerang
2270.stations.xmltv.tvmedia.ca,OuterMax - Eastern
2271.stations.xmltv.tvmedia.ca,Showtime Showcase - Eastern
2272.stations.xmltv.tvmedia.ca,Showtime Next - Eastern
2561.stations.xmltv.tvmedia.ca,"WMBC-Newton, NJ"
2574.stations.xmltv.tvmedia.ca,"NJ PBS (WNJN) Montclair, NJ"
2575.stations.xmltv.tvmedia.ca,"TBN (WTBY) New York, NY"
2680.stations.xmltv.tvmedia.ca,Starz Cinema - Eastern
2707.stations.xmltv.tvmedia.ca,Lifetime Real Women East
323.stations.xmltv.tvmedia.ca,BET - Eastern Feed
32348.stations.xmltv.tvmedia.ca,"ShopHQ (WRNN) Kingston, NY HD"
32846.stations.xmltv.tvmedia.ca,"Estrella (WASA-LD) Port Jervis, NY HD"
329.stations.xmltv.tvmedia.ca,Game Show Network - East
33016.stations.xmltv.tvmedia.ca,"NHK World (WNJN-DT2) Montclair, NJ"
333.stations.xmltv.tvmedia.ca,truTV USA - Eastern
4186.stations.xmltv.tvmedia.ca,SNY: SportsNet New York (Comcast)
4223.stations.xmltv.tvmedia.ca,Starz Comedy - Eastern
4350.stations.xmltv.tvmedia.ca,TMC Xtra - Eastern
4553.stations.xmltv.tvmedia.ca,"ABC (WABC) New York, NY HD"
4555.stations.xmltv.tvmedia.ca,"CBS (WCBS) New York, NY HD"
4557.stations.xmltv.tvmedia.ca,"FOX (WNYW) New York, NY HD"
4559.stations.xmltv.tvmedia.ca,"NBC (WNBC) New York, NY HD"
4656.stations.xmltv.tvmedia.ca,Fox Business
4657.stations.xmltv.tvmedia.ca,Cinemax on Demand
4659.stations.xmltv.tvmedia.ca,TMC on Demand
4793.stations.xmltv.tvmedia.ca,"Circle (WWOR-TV2) New York, NY"
4794.stations.xmltv.tvmedia.ca,WPIX New York (SUPERSTATION) HD
5138.stations.xmltv.tvmedia.ca,MeTV (WJLP) New Jersey/New York
527.stations.xmltv.tvmedia.ca,BBC News - North America
594.stations.xmltv.tvmedia.ca,ESPN
6003.stations.xmltv.tvmedia.ca,NY1 New York
6080.stations.xmltv.tvmedia.ca,MTV Live
6202.stations.xmltv.tvmedia.ca,"Create (WLIW2) Long Island, NY"
6203.stations.xmltv.tvmedia.ca,"PBS World (WLIW3) Long Island, NY"
622.stations.xmltv.tvmedia.ca,Magnolia - East
628.stations.xmltv.tvmedia.ca,HBO Family - Eastern Feed
629.stations.xmltv.tvmedia.ca,HBO Comedy - East
63.stations.xmltv.tvmedia.ca,WPIX New York (SUPERSTATION)
630.stations.xmltv.tvmedia.ca,HBO Movies - East
650.stations.xmltv.tvmedia.ca,ESPN2
658.stations.xmltv.tvmedia.ca,Nickelodeon USA - East Feed
661.stations.xmltv.tvmedia.ca,Cartoon Network USA - Eastern Feed
6837.stations.xmltv.tvmedia.ca,BET Her
6838.stations.xmltv.tvmedia.ca,Primetime OnDemand
6921.stations.xmltv.tvmedia.ca,NFL RedZone
7305.stations.xmltv.tvmedia.ca,"UNI (WXTV) Teaneck, NJ HD"
7307.stations.xmltv.tvmedia.ca,"Telemundo (WNJU) Teterboro, NJ HD"
7309.stations.xmltv.tvmedia.ca,"UniMás (WFUT) New York, NY HD"
7609.stations.xmltv.tvmedia.ca,MGM+ - East
7930.stations.xmltv.tvmedia.ca,MGM+ On Demand
8687.stations.xmltv.tvmedia.ca,TBD (WRNN-TV2) New York
9574.stations.xmltv.tvmedia.ca,"WLNY TV10/55, Riverhead, NY"
