Channel Name,Call Letters / Feed,Flagship,Type,Group,Region,Country,Network / Parent Company,Channel #,Timezone,Genre Focus,Shows You Might Like,Popular Shows / Notes,Streaming Alternative,Streaming Status,Feed Variant,Language,Availability,Notes / Annotations,focused_norm,top_suggestion,notes
History2,,,Specialty,CA-Specialty,National,CA,Corus Entertainment,,Eastern,Military; mystery,Ancient Aliens; WWII in HD,Canadian feed of H2 US,StackTV,Subscription,HD,English,IPTV only,,history2,,no match within country-scoped provider set
Skinemax HD,,,Specialty,CA-Specialty,National,CA,Cinemax (via Crave),,Eastern,Action; thrillers,Banshee; Strike Back,Canadian feed of Cinemax US,Crave.ca,Subscription,HD,English,IPTV only,,skinemax,,no match within country-scoped provider set
Channel Name,Call Letters / Feed,Flagship,Type,Group,Region,Country,Network / Parent Company,Channel #,Timezone,Genre Focus,Shows You Might Like,Popular Shows / Notes,Streaming Alternative,Streaming Status,Feed Variant,Language,Availability,,name,,no match within country-scoped provider set
TVNZ 1,TVNZ 1 HD,Yes,Public,NZ-Local,National,NZ,TVNZ,1,NZST,Drama; news; docs,The Brokenwood Mysteries; Fair Go,Flagship NZ public broadcaster,TVNZ+,VPN Required,HD,English,IPTV only,,tvnz 1,,no match within country-scoped provider set
TVNZ 2,TVNZ 2 HD,No,Public,NZ-Local,National,NZ,TVNZ,2,NZST,Reality; youth drama,Shortland Street; The Bachelor NZ,Youth and entertainment focus,TVNZ+,VPN Required,HD,English,IPTV only,,tvnz 2,,no match within country-scoped provider set
TVNZ Duke,Duke HD,No,Specialty,NZ-Specialty,National,NZ,TVNZ,13,NZST,Comedy; action; satire,Taskmaster NZ; Wellington Paranormal,Male-skewed edgy content,TVNZ+,VPN Required,HD,English,IPTV only,,tvnz duke,,no match within country-scoped provider set
Three NZ,Three HD,Yes,Commercial,NZ-Local,National,NZ,Warner Bros. Discovery NZ,3,NZST,Reality; crime; lifestyle,David Lomas Investigates; The Block NZ,Flagship private broadcaster,ThreeNow,VPN Required,HD,English,IPTV only,,three nz,,no match within country-scoped provider set
Bravo NZ,Bravo HD,No,Specialty,NZ-Specialty,National,NZ,Warner Bros. Discovery NZ,4,NZST,Reality; lifestyle,Real Housewives NZ; Say Yes to the Dress,NZ feed of global Bravo content,ThreeNow,VPN Required,HD,English,IPTV only,,bravo nz,,no match within country-scoped provider set
Vibe NZ,Vibe HD,No,Specialty,NZ-Specialty,National,NZ,Sky NZ,6,NZST,Drama; lifestyle; reality,The Good Doctor; Call the Midwife,Female-skewed drama and lifestyle,SkyGo,VPN Required,HD,English,IPTV only,,vibe nz,,no match within country-scoped provider set
Jones!,Jones! HD,No,Specialty,NZ-Specialty,National,NZ,Sky NZ,7,NZST,Classic TV; nostalgia,Cheers; Frasier; M*A*S*H,Retro and comfort TV,SkyGo,VPN Required,HD,English,IPTV only,,jones,,no match within country-scoped provider set
Neon NZ,Streaming only,No,Streaming,NZ-Specialty,National,NZ,Sky NZ,‹¨«??,NZST,Prestige drama; HBO,Succession; The Last of Us,NZ streaming-only HBO access,Neon.co.nz,VPN Required,HD,English,Streaming only,,neon nz,,no match within country-scoped provider set
FXM,FXM HD,No,Specialty,US-Specialty,National,US,Disney,,Eastern,Movies; genre; cult,Logan; Alien,FX Movie Channel,FXNow.com,Subscription,HD,English,IPTV only,,fxm,,no match within country-scoped provider set
