"status","source","destination","robocopy_exit"
"copied","F:\Users\Lenovo\chrome-capture-for-channels","C:\Users\andrew\PROJECTS\iptv\collections\repos_programs\chrome-capture-for-channels","1"
"copied","F:\Users\Lenovo\Documents\Projects\Edit_n_Manage_IPTV_Files","C:\Users\andrew\PROJECTS\iptv\collections\repos_programs\Edit_n_Manage_IPTV_Files","1"
"copied","F:\Users\Lenovo\Documents\Projects\epg","C:\Users\andrew\PROJECTS\iptv\collections\repos_programs\epg","1"
"copied","F:\Users\Lenovo\Documents\Projects\iptv-m3u-viewer","C:\Users\andrew\PROJECTS\iptv\collections\repos_programs\iptv-m3u-viewer","1"
"copied","F:\Users\Lenovo\Documents\Projects\iptv-org\api","C:\Users\andrew\PROJECTS\iptv\collections\repos_programs\api","1"
"copied","F:\Users\Lenovo\Documents\Projects\iptv-org\database","C:\Users\andrew\PROJECTS\iptv\collections\repos_programs\database","1"
"copied","F:\Users\Lenovo\Documents\Projects\iptv-org\epg","C:\Users\andrew\PROJECTS\iptv\collections\repos_programs\epg__C88298A5","1"
"copied","F:\Users\Lenovo\Documents\Projects\iptv-org\epg\epg","C:\Users\andrew\PROJECTS\iptv\collections\repos_programs\epg__CEF6D209","1"
"copied","F:\Users\Lenovo\Documents\Projects\iptv-org\iptv","C:\Users\andrew\PROJECTS\iptv\collections\repos_programs\iptv","1"
"copied","F:\Users\Lenovo\Documents\Projects\iptv-org\iptv-org\api","C:\Users\andrew\PROJECTS\iptv\collections\repos_programs\api__743A33F6","1"
"copied","F:\Users\Lenovo\Documents\Projects\iptv-org\iptv-org\database","C:\Users\andrew\PROJECTS\iptv\collections\repos_programs\database__FF401010","1"
"copied","F:\Users\Lenovo\Documents\Projects\iptv-org\iptv-org\epg","C:\Users\andrew\PROJECTS\iptv\collections\repos_programs\epg__69B40A25","1"
"copied","F:\Users\Lenovo\Documents\Projects\iptv-org\iptv-org\epg\epg","C:\Users\andrew\PROJECTS\iptv\collections\repos_programs\epg__BE5F3E8D","1"
"copied","F:\Users\Lenovo\Documents\Projects\iptv-org\iptv-org\iptv","C:\Users\andrew\PROJECTS\iptv\collections\repos_programs\iptv__C42511BE","1"
"copied","F:\Users\Lenovo\Documents\Projects\m3u-epg-editor","C:\Users\andrew\PROJECTS\iptv\collections\repos_programs\m3u-epg-editor","1"
"copied","F:\Users\Lenovo\Documents\Projects\m3u-filter","C:\Users\andrew\PROJECTS\iptv\collections\repos_programs\m3u-filter","1"
"copied","F:\Users\Lenovo\Documents\Projects\M3UManager","C:\Users\andrew\PROJECTS\iptv\collections\repos_programs\M3UManager","1"
"copied","F:\Users\Lenovo\Documents\Projects\m3utodb","C:\Users\andrew\PROJECTS\iptv\collections\repos_programs\m3utodb","1"
"copied","F:\Users\Lenovo\PROJECTS\AJPs-custom-epg-master\AJPs-custom-epg-master","C:\Users\andrew\PROJECTS\iptv\collections\repos_programs\AJPs-custom-epg-master","1"
"copied","F:\Users\Lenovo\PROJECTS\get-epg-open-epg.com\get-epg-open-epg.com","C:\Users\andrew\PROJECTS\iptv\collections\repos_programs\get-epg-open-epg.com","1"
"copied","F:\Users\Lenovo\PROJECTS\IPTV_Data_Harmonization_System\IPTV_Data_Harmonization_System","C:\Users\andrew\PROJECTS\iptv\collections\repos_programs\IPTV_Data_Harmonization_System","1"
"copied","F:\Users\Lenovo\PROJECTS\IPTV-ChannelStudio","C:\Users\andrew\PROJECTS\iptv\collections\repos_programs\IPTV-ChannelStudio","1"
"copied","F:\Users\Lenovo\PROJECTS\Personalized EPG Explorer\Personalized-EPG-Explorer","C:\Users\andrew\PROJECTS\iptv\collections\repos_programs\Personalized-EPG-Explorer","1"
